employee_id,date,check_in,check_out,status,overtime_minutes
EMP001,2026-01-01,07:40:00,17:03:00,present,0
EMP002,2026-01-01,08:00:00,17:00:00,present,0
EMP003,2026-01-01,08:02:00,17:08:00,present,0
EMP004,2026-01-01,07:48:00,17:08:00,present,0
EMP005,2026-01-01,08:08:00,17:08:00,present,0
EMP006,2026-01-01,07:50:00,17:09:00,present,0
EMP007,2026-01-01,08:01:00,17:05:00,present,0
EMP008,2026-01-01,07:50:00,17:02:00,present,0
EMP009,2026-01-01,07:39:00,18:58:00,present,109
EMP010,2026-01-01,07:51:00,17:05:00,present,0
EMP011,2026-01-01,09:25:00,17:09:00,late,0
EMP012,2026-01-01,09:26:00,17:10:00,late,0
EMP013,2026-01-01,07:41:00,17:02:00,present,0
EMP014,2026-01-01,07:48:00,17:08:00,present,0
EMP015,2026-01-01,07:40:00,17:04:00,present,0
EMP016,2026-01-01,07:51:00,17:07:00,present,0
EMP017,2026-01-01,,,absent,0
EMP018,2026-01-01,07:44:00,17:05:00,present,0
EMP019,2026-01-01,07:54:00,17:00:00,present,0
EMP020,2026-01-01,07:41:00,17:08:00,present,0
EMP021,2026-01-01,08:46:00,17:02:00,late,0
EMP022,2026-01-01,07:56:00,17:06:00,present,0
EMP023,2026-01-01,08:29:00,17:00:00,late,0
EMP024,2026-01-01,07:54:00,17:03:00,present,0
EMP025,2026-01-01,07:52:00,17:04:00,present,0
EMP026,2026-01-01,08:09:00,17:00:00,present,0
EMP027,2026-01-01,07:51:00,18:52:00,present,106
EMP028,2026-01-01,08:07:00,17:09:00,present,0
EMP029,2026-01-01,08:08:00,17:10:00,present,0
EMP030,2026-01-01,07:56:00,17:10:00,present,0
EMP031,2026-01-01,09:08:00,17:04:00,late,0
EMP032,2026-01-01,07:59:00,17:02:00,present,0
EMP033,2026-01-01,07:35:00,17:03:00,present,0
EMP034,2026-01-01,08:04:00,17:10:00,present,0
EMP035,2026-01-01,07:45:00,17:10:00,present,0
EMP036,2026-01-01,07:50:00,17:03:00,present,0
EMP037,2026-01-01,08:05:00,17:01:00,present,0
EMP038,2026-01-01,07:59:00,17:03:00,present,0
EMP039,2026-01-01,07:41:00,17:03:00,present,0
EMP040,2026-01-01,07:38:00,17:01:00,present,0
EMP041,2026-01-01,08:10:00,17:07:00,present,0
EMP042,2026-01-01,08:10:00,17:02:00,present,0
EMP043,2026-01-01,07:50:00,17:04:00,present,0
EMP044,2026-01-01,07:52:00,17:04:00,present,0
EMP045,2026-01-01,08:35:00,17:02:00,late,0
EMP046,2026-01-01,08:01:00,18:29:00,present,83
EMP047,2026-01-01,07:59:00,17:05:00,present,0
EMP048,2026-01-01,08:01:00,17:08:00,present,0
EMP049,2026-01-01,07:52:00,17:00:00,present,0
EMP050,2026-01-01,07:45:00,17:02:00,present,0
EMP001,2026-01-02,07:36:00,18:26:00,present,84
EMP002,2026-01-02,07:55:00,19:28:00,present,143
EMP003,2026-01-02,07:51:00,17:07:00,present,0
EMP004,2026-01-02,07:57:00,18:27:00,present,77
EMP005,2026-01-02,07:44:00,17:07:00,present,0
EMP006,2026-01-02,07:51:00,17:09:00,present,0
EMP007,2026-01-02,07:45:00,17:00:00,present,0
EMP008,2026-01-02,07:59:00,17:03:00,present,0
EMP009,2026-01-02,07:41:00,17:04:00,present,0
EMP010,2026-01-02,07:37:00,17:06:00,present,0
EMP011,2026-01-02,09:09:00,17:01:00,late,0
EMP012,2026-01-02,08:35:00,17:08:00,late,0
EMP013,2026-01-02,08:09:00,17:07:00,present,0
EMP014,2026-01-02,07:50:00,18:30:00,present,87
EMP015,2026-01-02,07:56:00,18:13:00,present,71
EMP016,2026-01-02,07:52:00,17:04:00,present,0
EMP017,2026-01-02,07:50:00,17:07:00,present,0
EMP018,2026-01-02,08:03:00,17:01:00,present,0
EMP019,2026-01-02,07:58:00,17:08:00,present,0
EMP020,2026-01-02,07:57:00,17:04:00,present,0
EMP021,2026-01-02,09:24:00,17:02:00,late,0
EMP022,2026-01-02,08:08:00,17:01:00,present,0
EMP023,2026-01-02,09:24:00,17:00:00,late,0
EMP024,2026-01-02,09:18:00,17:00:00,late,0
EMP025,2026-01-02,07:46:00,17:04:00,present,0
EMP026,2026-01-02,08:00:00,17:09:00,present,0
EMP027,2026-01-02,07:54:00,18:02:00,present,61
EMP028,2026-01-02,07:49:00,17:06:00,present,0
EMP029,2026-01-02,08:02:00,20:38:00,present,218
EMP030,2026-01-02,07:48:00,17:04:00,present,0
EMP031,2026-01-02,08:16:00,17:09:00,late,0
EMP032,2026-01-02,07:53:00,17:07:00,present,0
EMP033,2026-01-02,07:47:00,17:08:00,present,0
EMP034,2026-01-02,07:44:00,17:55:00,present,51
EMP035,2026-01-02,08:03:00,21:00:00,present,236
EMP036,2026-01-02,08:06:00,17:09:00,present,0
EMP037,2026-01-02,07:51:00,18:09:00,present,59
EMP038,2026-01-02,07:52:00,17:02:00,present,0
EMP039,2026-01-02,07:46:00,17:06:00,present,0
EMP040,2026-01-02,07:57:00,17:05:00,present,0
EMP041,2026-01-02,08:06:00,17:06:00,present,0
EMP042,2026-01-02,07:55:00,17:01:00,present,0
EMP043,2026-01-02,07:35:00,17:08:00,present,0
EMP044,2026-01-02,08:06:00,17:00:00,present,0
EMP045,2026-01-02,08:06:00,17:10:00,present,0
EMP046,2026-01-02,08:10:00,17:03:00,present,0
EMP047,2026-01-02,08:35:00,17:04:00,late,0
EMP048,2026-01-02,08:05:00,17:08:00,present,0
EMP049,2026-01-02,07:43:00,17:04:00,present,0
EMP050,2026-01-02,08:07:00,17:00:00,present,0
EMP001,2026-01-05,08:06:00,17:07:00,present,0
EMP002,2026-01-05,08:09:00,19:25:00,present,142
EMP003,2026-01-05,08:01:00,18:36:00,present,90
EMP004,2026-01-05,07:44:00,18:43:00,present,94
EMP005,2026-01-05,09:14:00,17:54:00,late,48
EMP006,2026-01-05,07:51:00,21:03:00,present,237
EMP007,2026-01-05,08:09:00,19:31:00,present,141
EMP008,2026-01-05,07:37:00,17:03:00,present,0
EMP009,2026-01-05,07:40:00,17:01:00,present,0
EMP010,2026-01-05,07:45:00,17:00:00,present,0
EMP011,2026-01-05,07:44:00,17:06:00,present,0
EMP012,2026-01-05,09:04:00,17:03:00,late,0
EMP013,2026-01-05,07:51:00,,present,0
EMP014,2026-01-05,08:09:00,19:58:00,present,173
EMP015,2026-01-05,07:51:00,17:04:00,present,0
