candidate_id,position,department,stage,stage_timestamp,status
CAN001,Account Mgr,Sales,Applied,2026-01-14,Passed
CAN001,Account Mgr,Sales,Screening,2026-02-17,Active
CAN002,Ops Manager,Operations,Applied,2025-12-30,Rejected
CAN003,HR Admin,HR,Applied,2026-02-19,Active
CAN004,VP Sales,Sales,Applied,2026-02-19,Active
CAN005,Backend Dev,Tech,Applied,2025-12-29,Passed
CAN005,Backend Dev,Tech,Screening,2026-01-01,Passed
CAN005,Backend Dev,Tech,Interview,2026-01-05,Rejected
CAN006,Tech Lead,Tech,Applied,2026-01-21,Passed
CAN006,Tech Lead,Tech,Screening,2026-01-22,Passed
CAN006,Tech Lead,Tech,Interview,2026-02-19,Active
CAN007,Sales Exec,Sales,Applied,2026-02-20,Active
CAN008,Data Analyst,Tech,Applied,2026-01-08,Passed
CAN008,Data Analyst,Tech,Screening,2026-02-16,Active
CAN009,Recruitment Spec,HR,Applied,2026-01-05,Rejected
CAN010,Frontend Dev,Tech,Applied,2026-01-23,Passed
CAN010,Frontend Dev,Tech,Screening,2026-01-25,Passed
CAN010,Frontend Dev,Tech,Interview,2026-01-28,Passed
CAN010,Frontend Dev,Tech,Offering,2026-01-31,Passed
CAN010,Frontend Dev,Tech,Hired,2026-02-04,Hired
CAN011,VP Sales,Sales,Applied,2025-12-21,Rejected
CAN012,Tech Lead,Tech,Applied,2026-02-21,Active
CAN013,Accountant,Finance,Applied,2026-02-06,Passed
CAN013,Accountant,Finance,Screening,2026-02-17,Active
CAN014,Finance Analyst,Finance,Applied,2026-01-09,Passed
CAN014,Finance Analyst,Finance,Screening,2026-01-10,Passed
CAN014,Finance Analyst,Finance,Interview,2026-01-12,Passed
CAN014,Finance Analyst,Finance,Offering,2026-01-16,Passed
CAN014,Finance Analyst,Finance,Hired,2026-01-18,Hired
CAN015,HR Admin,HR,Applied,2026-02-01,Passed
CAN015,HR Admin,HR,Screening,2026-02-04,Passed
CAN015,HR Admin,HR,Interview,2026-02-14,Active
CAN016,Ops Staff,Operations,Applied,2025-12-31,Passed
CAN016,Ops Staff,Operations,Screening,2026-01-02,Passed
CAN016,Ops Staff,Operations,Interview,2026-01-05,Passed
CAN016,Ops Staff,Operations,Offering,2026-01-07,Passed
CAN016,Ops Staff,Operations,Hired,2026-01-08,Hired
CAN017,Ops Staff,Operations,Applied,2025-12-22,Passed
CAN017,Ops Staff,Operations,Screening,2025-12-24,Passed
CAN017,Ops Staff,Operations,Interview,2025-12-28,Passed
CAN017,Ops Staff,Operations,Offering,2025-12-30,Passed
CAN017,Ops Staff,Operations,Hired,2026-01-02,Hired
